目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
0027,1 ,81.30,90.59,81.56,78.66,71.67,69.74,73.26,85.20,1,8,2,2,4,4,#NULL!,1997,6,1,7,9,34.000,14,8,18,25,0
0028,1 ,89.79,89.57,85.31,92.14,93.89,88.55,88.88,84.77,2,15,1,8,3,5,1,1988,6,9,3,4,30.000,20,13,10,20,0
0029,1 ,86.35,86.89,88.92,88.88,88.87,88.88,86.60,84.77,2,35,2,10,4,5,2,1985,6,13,4,2,48.000,19,32,18,0,0
0030,1 ,90.77,88.92,88.92,88.88,91.95,88.88,88.88,88.87,2,14,2,5,5,6,1,1986,6,11,3,4,45.000,16,14,25,20,0
0031,1 ,78.05,68.36,74.05,70.34,71.51,72.49,71.06,74.44,2,35,3,10,3,5,1,1985,5,12,1,2,11.000,7,7,12,5,0
0032,1 ,95.05,90.94,73.90,93.03,88.87,94.17,91.16,95.88,2,31,1,6,5,6,1,1989,6,7,5,2,10.000,8,14,15,0,0
0033,1 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,36,1,10,3,5,1,1983,5,14,4,6,33.000,12,12,0,35,0
0034,1 ,68.54,69.12,66.69,66.66,66.65,69.41,66.67,66.66,2,5,1,3,2,3,#NULL!,1990,5,5,2,2,15.000,10,10,40,0,0
0035,1 ,83.93,81.46,85.17,84.72,85.79,83.06,84.44,81.09,1,13,2,8,3,5,1,1992,5,3,5,5,22.000,13,8,0,0,0
0036,1 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,15,1,5,3,5,1,1990,6,6,1,3,30.000,20,13,20,15,0
0037,1 ,77.81,77.80,74.05,71.24,77.76,77.77,75.68,77.76,2,11,2,10,3,5,1,1984,6,11,7,9,70.000,60,45,10,10,0
0038,1 ,75.96,74.24,74.05,85.14,54.24,69.74,80.01,74.44,1,32,1,5,5,6,1,1986,8,10,3,6,14.000,12,7,30,20,0
0039,1 ,64.45,65.52,48.21,66.66,72.75,63.59,71.04,69.91,2,12,1,5,3,5,1,1975,4,21,4,2,15.000,10,7,50,10,0
0040,1 ,78.79,75.59,81.41,92.56,71.14,75.56,84.43,74.44,1,30,2,1,2,3,#NULL!,1990,6,8,2,3,24.000,14,12,0,20,0
0041,1 ,79.90,82.07,85.17,85.19,79.45,80.52,75.62,88.87,2,25,3,2,3,2,#NULL!,1995,5,1,6,5,23.000,12,10,0,25,0
0042,1 ,75.78,72.09,74.05,73.61,74.69,71.95,75.68,70.33,2,22,1,5,5,6,1,1987,6,12,2,6,14.000,10,13,25,0,0
0043,1 ,56.51,48.60,52.11,57.92,53.21,41.57,51.23,56.32,1,20,1,5,3,5,1,1989,5,8,4,3,26.000,14,10,10,25,0
0044,1 ,71.87,71.51,66.69,74.08,72.97,69.41,66.67,66.66,1,12,1,6,5,6,1,1985,5,12,4,9,50.000,30,30,20,10,0
0045,1 ,81.49,81.97,85.17,81.45,81.00,83.60,84.44,73.66,2,48,1,15,3,1,1,1971,5,25,4,9,60.000,50,40,0,0,1
0046,1 ,63.20,73.39,59.33,66.66,63.64,72.49,66.67,63.33,1,15,2,21,5,6,1,1975,8,17,3,3,49.000,11,28,10,0,0
0047,1 ,82.47,83.52,81.56,81.45,85.63,86.14,79.87,85.54,2,35,2,10,3,5,2,1982,6,15,6,2,15.000,10,10,10,5,0
0048,1 ,75.96,81.46,81.56,85.61,69.90,83.06,75.68,66.66,2,29,1,9,3,2,#NULL!,1991,6,7,5,4,10.000,18,19,0,0,0
0049,1 ,62.94,76.54,62.94,79.08,47.98,74.70,77.77,77.76,1,6,1,11,4,6,1,1987,6,11,2,2,20.000,12,7,0,0,0
0050,1 ,79.12,85.15,85.17,81.45,87.09,83.60,86.53,81.09,2,36,1,5,2,3,#NULL!,1984,6,13,5,4,20.000,12,14,0,0,0
0051,1 ,95.43,99.03,92.67,99.98,95.13,99.99,99.99,92.55,2,29,1,8,3,5,1,1990,8,4,4,2,20.000,12,7,20,30,0
0052,1 ,68.54,75.37,62.94,71.71,49.29,55.56,70.91,55.12,2,11,1,4,3,5,1,1985,6,11,4,7,25.000,10,10,20,28,0
0053,1 ,91.49,93.95,73.90,96.72,88.87,88.55,91.16,92.55,2,31,2,6,5,6,1,1989,6,7,6,4,23.000,11,6,20,30,0
0054,1 ,77.81,80.20,85.17,81.03,80.78,77.77,82.15,85.20,2,39,1,15,3,5,1,1981,5,15,4,1,39.000,36,30,14,16,0
0055,1 ,78.92,78.56,66.69,77.77,79.54,80.85,80.05,81.44,2,36,1,14,5,6,1,1984,4,14,4,4,30.000,12,15,30,0,0
0056,1 ,79.84,86.89,85.17,81.03,77.93,77.77,84.44,82.22,1,15,3,6,4,5,2,1982,6,15,7,9,36.000,12,15,35,5,0
0057,1 ,79.66,88.92,77.81,81.03,82.55,88.88,82.15,88.87,2,15,2,14,5,6,1,1981,4,15,6,4,30.000,12,26,15,6,0
0058,1 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,60,1,30,3,5,1,1960,5,38,4,1,35.000,12,19,15,0,0
0059,1 ,87.09,87.38,74.05,92.56,86.02,86.14,93.14,89.22,1,20,1,3,3,2,#NULL!,1990,6,7,5,2,40.000,20,20,0,0,0
0060,2 ,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1,11,5,6,2,3,#NULL!,1987,5,11,4,4,8.000,16,15,35,10,0
0061,2 ,78.55,77.80,81.56,81.03,82.30,83.60,80.07,81.09,2,15,3,8,4,6,1,1987,5,9,6,3,29.000,13,10,0,0,0
0062,2 ,81.36,79.91,63.08,74.03,80.94,80.52,70.86,71.54,2,33,1,5,5,6,1,1987,6,10,3,5,13.000,7,7,30,0,0
0063,2 ,77.81,77.80,77.81,77.77,77.76,77.77,77.77,77.76,2,14,3,8,5,6,1,1986,5,11,3,2,29.000,13,26,0,0,0
0064,2 ,65.17,64.95,62.94,73.61,63.58,69.74,71.10,59.23,1,29,1,3,5,6,1,1991,6,6,2,4,12.000,5,7,15,0,0
0065,2 ,70.25,64.67,70.44,70.34,69.73,69.41,66.67,66.66,2,15,2,8,5,6,1,1986,5,10,4,8,14.000,14,27,15,0,0
0066,2 ,66.15,67.38,55.58,71.24,67.96,60.84,64.49,62.55,2,32,1,6,2,3,#NULL!,1987,6,8,4,4,18.000,10,10,0,25,0
0067,2 ,85.37,85.26,81.56,85.19,85.63,85.81,84.44,81.87,2,27,1,8,5,6,1,1993,6,5,4,4,16.000,20,21,4,0,0
0068,2 ,75.96,77.04,70.44,77.77,72.75,71.95,73.20,73.66,1,20,2,12,4,5,2,1980,8,15,6,3,60.000,50,45,0,0,0
0069,2 ,81.36,80.23,81.56,77.77,81.00,86.14,82.16,81.87,2,36,2,10,4,5,2,1984,6,11,5,2,29.000,15,13,0,0,0
0070,2 ,82.41,73.54,74.05,88.88,72.91,74.70,79.86,81.87,1,20,2,1,3,5,1,1988,6,10,4,2,20.000,12,15,15,0,0
0071,2 ,74.25,77.04,66.69,77.77,77.76,80.85,77.76,81.09,1,10,1,10,3,5,1,1980,4,15,4,1,20.000,10,15,0,0,0
0072,2 ,88.54,83.93,85.17,92.56,87.79,77.77,88.87,84.77,2,14,2,8,5,6,1,1987,5,10,6,6,29.000,14,26,0,0,1
0073,2 ,83.52,79.07,74.05,81.93,79.23,74.70,84.31,81.09,2,10,2,7,5,6,1,1984,6,10,6,4,20.000,8,6,30,25,0
0074,2 ,79.84,88.92,77.81,88.88,77.76,86.14,88.88,77.76,2,35,2,6,3,5,1,1985,6,13,3,2,27.000,20,20,0,0,0
0075,2 ,81.69,85.63,74.05,70.40,71.51,80.85,77.77,77.76,1,8,2,14,3,5,1,1985,5,11,6,6,20.000,5,16,0,0,0
0076,2 ,93.91,88.36,85.17,88.88,88.65,91.63,93.27,91.77,2,25,1,18,3,5,1,1979,5,17,4,2,20.000,8,7,18,33,0
0077,2 ,73.39,71.11,77.81,66.66,69.67,69.41,73.34,70.33,2,45,4,15,2,3,#NULL!,1975,5,20,3,4,20.000,15,18,30,10,0
0078,2 ,76.70,77.80,70.44,77.77,77.76,77.77,77.77,73.66,1,5,1,6,3,5,1,1991,6,7,3,2,20.000,15,8,40,10,0
0079,2 ,82.47,82.26,81.56,85.19,80.84,77.77,86.79,81.87,2,36,1,3,3,5,1,1984,4,14,4,2,38.000,20,27,0,0,1
0080,2 ,72.22,77.44,70.44,71.24,71.28,77.77,73.38,74.44,2,30,1,10,2,3,#NULL!,1990,6,8,5,2,30.000,24,16,0,0,0
0081,2 ,70.57,74.11,77.81,74.50,75.99,80.52,73.34,70.33,2,34,2,6,4,6,1,1986,6,10,6,2,36.000,16,25,0,0,0
0082,2 ,77.48,83.24,81.41,78.66,76.05,78.31,75.63,74.44,2,13,2,9,5,6,1,1986,6,10,4,3,30.000,14,26,12,0,0
0083,2 ,69.83,77.33,77.81,70.82,74.52,75.03,82.35,76.99,2,11,1,6,3,5,1,1987,6,10,3,2,40.000,35,36,10,5,0
0084,2 ,78.38,81.09,74.20,74.93,84.02,83.06,73.15,78.89,2,12,2,11,3,2,#NULL!,1988,6,8,7,9,60.000,50,45,10,10,0
0085,2 ,83.93,81.09,77.81,85.61,84.02,83.06,84.31,85.54,2,20,2,8,4,6,1,1986,5,11,5,6,22.000,16,18,0,0,0
0086,2 ,82.80,82.07,81.56,78.19,82.78,83.60,79.86,85.54,2,20,1,4,3,5,1,1992,4,7,4,8,14.000,8,12,0,0,0
0087,2 ,74.13,80.81,77.81,77.77,84.02,86.14,75.48,73.66,2,16,3,8,4,6,1,1986,5,11,4,4,28.000,13,25,0,0,0
0088,2 ,80.95,83.89,77.81,85.61,77.76,83.60,84.31,81.44,2,35,1,6,3,5,1,1984,4,10,3,2,20.000,8,6,20,35,0
0089,2 ,84.32,84.65,81.56,78.66,75.93,83.60,79.93,77.42,2,15,1,3,3,5,1,1989,5,8,4,8,15.000,9,12,0,0,0
0090,2 ,82.41,83.24,81.56,84.72,84.02,83.06,79.88,77.34,1,27,1,5,2,3,#NULL!,1990,6,9,4,5,18.000,10,13,30,0,0
0091,2 ,90.39,88.92,88.92,92.14,88.87,94.70,91.18,88.87,2,28,1,6,2,3,#NULL!,1990,6,5,6,4,23.000,18,20,0,0,1
0092,2 ,70.38,71.79,51.82,74.93,76.15,77.77,79.86,81.52,2,40,1,20,6,6,2,1979,6,20,4,4,18.000,6,10,0,0,0
0093,2 ,81.73,80.23,74.20,81.45,79.76,86.67,82.14,81.02,2,38,1,15,5,6,1,1983,5,15,6,5,15.000,9,9,30,20,0
0094,2 ,77.81,73.54,66.69,77.77,71.67,69.74,77.77,74.44,2,25,1,5,3,2,#NULL!,1995,4,3,7,9,16.000,8,10,20,10,0
0095,2 ,84.26,86.08,74.05,89.77,82.78,83.39,84.30,85.20,2,26,2,1,3,2,#NULL!,1994,6,4,6,8,20.000,8,14,0,0,0
0096,2 ,88.92,82.66,88.92,81.45,87.09,83.06,80.07,85.54,2,35,1,15,4,6,2,1985,5,15,3,4,20.000,15,9,30,10,0
0097,2 ,73.93,70.86,59.33,66.66,69.90,77.77,64.57,74.44,2,30,2,8,3,5,1,1989,6,8,4,2,26.000,13,12,20,20,0
0098,2 ,74.85,79.69,66.69,81.93,79.17,69.41,59.92,70.33,2,13,2,5,5,6,1,1982,6,15,6,6,22.000,8,9,20,25,0
0099,2 ,64.64,59.99,40.70,62.97,69.84,55.56,60.13,62.98,2,12,2,7,5,6,1,1990,4,7,6,4,20.000,8,7,20,30,0
0100,2 ,82.80,79.47,81.56,84.72,81.00,83.06,7.88,78.11,1,7,2,9,3,2,#NULL!,1989,6,7,7,9,60.000,55,50,10,10,0
0101,2 ,72.22,75.78,77.81,69.92,74.75,69.41,71.24,73.66,2,12,2,9,4,2,#NULL!,1989,6,8,7,9,60.000,50,40,10,10,0
0102,2 ,81.69,79.87,74.05,77.77,79.54,77.77,80.05,81.87,2,23,1,10,4,4,#NULL!,1982,8,16,1,2,50.000,40,35,25,10,0
0103,2 ,96.16,94.31,88.92,96.30,93.72,94.70,93.46,95.88,2,28,2,6,3,2,#NULL!,1992,6,5,7,9,30.000,11,20,0,20,0
0104,2 ,72.41,51.05,66.69,77.77,77.99,75.03,73.34,73.66,2,30,2,2,3,5,1,1990,5,7,4,8,25.000,15,18,0,13,0
0105,2 ,82.41,83.52,81.56,78.66,84.02,86.14,79.93,76.99,1,20,1,4,2,3,#NULL!,1991,6,7,3,5,13.000,8,11,0,0,0
0106,2 ,80.62,72.16,66.84,67.13,76.27,66.99,73.52,63.33,2,32,2,6,3,5,1,1988,5,9,3,5,12.000,5,9,10,0,0
0107,2 ,77.09,81.97,81.41,81.45,72.75,80.31,77.91,84.77,1,25,1,4,2,3,#NULL!,1989,5,9,4,8,15.000,9,10,25,0,0
0108,2 ,75.96,66.69,70.44,69.92,61.64,66.66,68.76,62.55,2,40,2,20,2,3,#NULL!,1980,5,16,3,4,15.000,10,11,10,10,0
0109,2 ,80.58,84.10,85.17,84.72,80.84,77.77,80.05,77.76,2,7,2,6,2,3,#NULL!,1992,6,5,8,10,20.000,15,10,30,0,0
0110,2 ,79.66,83.24,81.56,85.19,79.54,86.14,84.44,77.76,2,15,1,12,3,5,1,1985,4,14,5,6,16.000,7,8,20,10,0
0111,2 ,75.24,75.41,77.81,74.50,71.51,77.77,77.77,69.98,2,35,2,15,2,3,#NULL!,1985,4,12,3,6,20.000,15,11,20,10,0
0112,2 ,79.84,86.52,77.81,88.88,73.45,80.85,93.50,77.76,2,15,1,8,3,5,1,1980,6,17,3,4,24.000,9,11,18,20,0
0113,2 ,70.63,70.06,63.08,59.71,61.64,64.45,66.80,63.33,2,32,1,8,3,5,1,1988,5,8,4,4,40.000,20,20,0,0,0
0114,2 ,68.54,63.69,66.84,66.66,66.49,72.49,68.95,62.90,2,34,1,12,2,3,#NULL!,1986,5,13,7,9,40.000,20,25,0,0,0
0115,2 ,74.13,78.21,81.56,77.77,69.73,77.77,73.34,70.33,2,18,2,7,4,6,1,1988,4,8,6,4,17.000,15,27,12,0,0
0116,2 ,74.48,77.80,59.18,77.77,77.76,77.77,86.53,77.76,3,6,5,15,4,5,2,1982,4,16,4,6,15.000,10,10,0,27,0
0117,2 ,76.88,80.60,81.41,74.50,75.82,78.64,75.43,77.76,2,35,1,5,3,2,#NULL!,1985,5,15,5,6,17.000,15,15,40,15,0
0118,2 ,79.84,73.54,77.81,74.08,71.67,69.74,75.48,70.76,2,40,2,15,3,5,1,1980,6,16,2,4,19.000,12,7,0,0,0
0119,2 ,99.04,99.03,99.03,99.98,99.98,99.99,95.60,95.88,2,40,1,15,3,5,1,1980,4,18,4,2,24.000,9,11,20,20,0
0120,2 ,82.47,77.04,81.56,81.03,80.84,83.60,82.35,81.87,1,9,2,6,3,5,1,1992,6,7,5,4,20.000,14,16,10,5,0
0121,2 ,89.11,88.92,88.92,92.14,88.87,88.88,91.16,88.87,2,6,1,5,3,5,1,1985,4,15,3,3,40.000,18,13,20,33,0
0122,2 ,88.92,93.33,99.03,99.98,91.95,94.17,88.88,92.98,2,35,1,10,4,5,2,1985,6,13,4,2,40.000,15,17,18,25,0
0123,2 ,76.70,77.80,77.81,77.77,77.76,77.77,77.77,77.76,2,17,2,7,5,6,1,1987,5,10,4,6,28.000,12,21,0,0,0
0124,2 ,82.23,81.09,85.17,81.45,81.00,77.77,80.05,78.11,2,15,2,8,3,5,1,1989,5,7,7,9,30.000,25,26,10,10,0
0125,2 ,82.80,85.91,81.56,85.61,85.85,83.60,84.31,81.44,2,28,1,10,5,6,1,1992,5,6,4,4,13.000,20,22,10,5,0
0126,2 ,78.35,60.18,66.54,78.19,65.19,77.77,68.95,77.69,1,11,3,1,3,5,1,1999,6,1,4,5,16.000,8,10,0,0,0
0127,2 ,77.81,78.38,77.81,81.03,77.76,86.14,77.77,77.76,1,12,1,5,4,5,2,1983,5,15,4,2,18.000,12,12,0,0,0
0128,2 ,72.10,66.08,62.94,70.82,56.02,75.36,66.71,59.23,2,28,1,6,5,6,1,1991,6,6,6,8,36.000,16,30,0,0,0
0129,2 ,82.41,67.75,62.94,63.40,58.79,71.95,73.20,70.76,1,15,1,18,3,5,1,1981,5,17,4,2,30.000,15,18,30,20,0
0130,2 ,83.52,80.81,81.41,82.35,79.54,88.88,90.98,81.09,2,28,1,6,5,6,1,1991,6,7,5,6,32.000,12,20,0,0,0
0131,2 ,73.53,79.07,70.44,74.08,72.75,77.77,73.34,67.43,2,31,1,7,6,6,2,1989,6,7,4,3,28.000,20,23,16,6,0
0132,2 ,73.15,69.12,59.33,74.08,69.67,66.34,68.76,63.33,2,10,2,8,6,6,2,1989,4,10,6,2,20.000,15,16,15,15,0
0133,2 ,75.84,85.67,81.56,77.77,77.76,78.31,77.73,78.11,1,20,2,4,5,6,1,1986,5,11,3,4,12.000,6,9,20,0,0
0134,2 ,73.93,73.54,77.81,69.92,74.52,77.77,73.38,70.76,1,8,2,8,3,2,#NULL!,1988,4,7,7,9,13.000,40,30,20,10,0
0135,2 ,75.78,74.44,55.58,74.08,69.90,72.49,82.15,70.33,2,15,2,10,3,5,1,1980,6,15,4,2,18.000,10,13,0,0,0
0136,2 ,83.34,77.80,77.81,81.45,80.78,80.85,82.35,78.54,2,25,1,5,4,2,#NULL!,1995,6,3,5,5,16.000,20,25,5,6,0
0137,2 ,82.80,87.65,81.56,85.61,83.85,83.06,84.44,84.77,2,26,1,6,3,2,#NULL!,1994,6,5,4,5,25.000,10,20,3,1,0
0138,2 ,66.69,62.96,59.33,67.08,60.34,66.66,73.38,73.66,2,28,3,1,3,5,1,1992,6,4,1,5,18.000,8,15,0,0,0
0139,2 ,77.81,77.80,77.81,77.77,77.76,77.77,77.77,77.76,2,13,2,7,4,6,1,1987,6,10,4,3,30.000,13,27,10,0,0
0140,2 ,79.66,74.80,74.05,77.77,77.76,72.49,75.68,70.76,2,32,2,8,3,5,1,1988,4,8,7,9,17.000,9,10,23,8,0
0141,2 ,73.15,69.12,74.20,77.77,72.75,77.77,75.62,62.90,1,20,3,10,1,1,#NULL!,1985,6,10,3,7,18.000,14,10,20,10,0
0142,2 ,71.36,67.10,59.18,77.77,63.58,74.70,66.67,77.76,2,33,1,8,5,6,1,1986,4,11,5,2,25.000,12,20,20,5,0
0143,2 ,72.41,73.96,59.33,62.97,68.12,63.92,51.16,44.86,2,30,1,10,3,2,#NULL!,1990,6,8,3,4,28.000,20,21,0,0,0
0144,2 ,81.36,91.31,77.81,88.88,85.85,85.81,91.18,88.87,2,10,1,9,4,4,#NULL!,1990,5,8,6,7,20.000,12,10,0,0,0
0145,2 ,69.83,67.55,74.05,66.66,60.40,72.49,73.27,69.98,2,33,1,13,4,5,2,1987,6,10,4,3,24.000,12,8,40,10,0
0146,2 ,87.22,89.53,88.92,81.93,85.79,83.60,79.87,85.54,1,20,1,15,6,6,1,1985,6,12,3,2,25.000,20,10,35,10,0
0147,2 ,88.92,81.50,77.81,85.61,84.08,77.77,84.51,81.44,1,21,2,8,3,5,1,1983,6,14,4,2,22.000,12,17,0,0,0
0148,2 ,73.21,74.76,74.05,81.03,80.94,78.10,71.10,76.99,1,8,2,8,3,5,1,1989,6,9,4,8,20.000,15,10,40,10,0
0149,2 ,77.81,77.80,81.56,88.88,80.84,83.60,77.77,81.09,2,38,2,5,5,6,1,1982,6,13,5,4,30.000,13,22,0,0,0
0150,2 ,89.97,63.63,55.43,59.71,48.92,58.30,88.74,69.56,2,35,1,10,5,6,1,1985,6,12,4,1,32.000,24,24,11,9,0
0151,2 ,77.81,77.80,74.05,77.77,77.76,77.77,77.77,74.44,1,25,1,5,3,5,1,1989,6,7,5,2,36.000,18,31,0,0,0
0152,2 ,74.25,74.52,77.81,74.50,72.91,75.56,77.58,73.66,2,35,1,15,2,3,#NULL!,1985,6,11,5,2,40.000,30,35,0,0,0
0153,2 ,78.74,79.83,74.05,74.08,72.91,69.21,64.52,74.44,2,35,1,12,2,3,#NULL!,1985,6,13,3,2,30.000,25,25,0,0,0
0154,2 ,88.92,88.92,85.17,88.88,85.85,83.06,86.79,85.54,2,31,1,5,6,6,2,1989,6,9,4,2,34.000,13,20,18,0,0
0155,2 ,83.93,81.36,81.56,78.66,79.70,83.60,77.79,85.54,1,30,2,5,3,5,1,1981,6,14,6,4,40.000,12,27,0,0,0
0156,2 ,78.92,77.80,81.56,81.45,71.45,74.70,80.07,77.76,2,11,2,10,3,2,#NULL!,1988,5,6,7,9,65.000,60,50,10,10,0
0157,2 ,63.94,68.84,66.69,70.34,72.81,75.56,68.76,70.33,2,33,1,10,2,3,#NULL!,1987,5,13,5,4,40.000,15,20,0,0,0
0158,2 ,86.89,81.50,70.44,81.03,83.85,83.06,84.49,85.54,1,10,3,4,4,5,1,1987,6,10,4,7,40.000,12,36,14,6,1
0159,2 ,77.81,76.54,70.44,74.50,74.52,66.34,73.38,73.66,2,40,1,11,3,5,1,1980,6,16,3,2,50.000,45,46,0,0,0
0160,2 ,87.81,84.65,81.56,81.93,82.61,86.14,82.16,85.54,2,33,2,4,5,6,1,1987,5,9,4,6,10.000,5,9,20,10,0
0161,2 ,80.56,77.80,74.05,88.88,72.91,80.52,82.21,85.20,1,10,2,1,3,5,1,1984,6,12,4,2,18.000,10,16,0,0,0
0162,2 ,66.51,58.01,70.44,66.19,55.55,55.56,60.00,59.65,2,30,2,3,4,5,2,1990,5,8,3,4,15.000,8,12,3,2,0
0163,2 ,76.14,64.02,51.82,81.93,72.97,69.41,62.28,55.90,1,10,2,12,3,5,1,1975,6,23,3,2,16.000,10,8,20,0,0
0164,2 ,73.15,77.44,74.20,74.08,74.58,75.03,71.24,66.23,2,33,1,5,3,5,1,1987,6,9,3,5,18.000,10,13,12,0,0
0165,2 ,78.39,85.91,59.18,85.61,81.00,85.81,71.06,81.09,2,36,1,10,3,5,1,1984,4,13,3,2,25.000,15,18,0,0,0
0166,2 ,72.28,73.54,66.69,77.77,66.65,69.74,80.05,77.42,2,35,2,3,3,5,1,1984,6,12,4,7,28.000,15,25,5,0,0
0167,2 ,72.41,76.54,74.05,81.03,74.75,66.34,75.62,73.66,1,30,1,2,3,5,1,1984,6,11,4,9,20.000,11,15,10,10,0
0168,2 ,77.27,69.08,77.81,77.77,79.23,77.77,71.24,74.44,2,15,1,5,4,5,2,1988,5,10,3,2,25.000,20,15,20,0,0
0169,2 ,77.81,77.80,77.81,77.77,77.76,77.77,77.77,77.76,1,18,1,12,3,5,1,1986,6,11,2,4,25.000,18,20,0,17,0
0170,2 ,79.66,76.54,85.17,84.72,71.45,77.45,80.05,74.44,1,10,1,2,3,2,#NULL!,1995,6,2,3,8,20.000,10,9,0,0,0
0171,2 ,78.03,93.37,62.94,99.98,82.78,94.70,90.98,92.98,2,15,2,7,3,5,1,1987,6,9,4,4,20.000,8,7,20,30,0
0172,2 ,79.11,91.92,59.18,99.98,78.24,97.25,91.16,96.30,2,15,2,8,3,5,1,1987,6,9,4,2,22.000,8,6,18,40,0
0173,2 ,81.69,79.07,66.69,77.77,74.75,83.06,77.76,77.76,2,39,1,10,3,5,1,1980,6,15,4,6,25.000,8,17,0,0,0
0174,2 ,85.04,83.20,96.28,92.14,85.63,86.14,84.31,88.87,2,20,1,8,4,5,2,1985,5,11,4,2,21.000,11,11,0,20,0
